Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J1,Conn_02x03_Top_Bottom,PinHeader_2x03_P2.54mm_Vertical_SMD,75.5,-32.0,90.0,bottom
J2,Conn_02x03_Top_Bottom,PinHeader_2x03_P2.54mm_Vertical_SMD,75.5,-70.0,90.0,bottom
